"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\definitions\color.h", "C", 10, 0, 0, 2, 12
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\definitions\dimensions.h", "C++", 0, 4, 0, 1, 5
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\definitions\units.h", "C", 3, 0, 0, 1, 4
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\graphics\graphics.c", "C", 130, 0, 0, 35, 165
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\graphics\graphics.h", "C", 18, 0, 0, 5, 23
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\graphics\renderer.c", "C", 20, 0, 0, 2, 22
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\graphics\renderer.h", "C", 5, 0, 0, 1, 6
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\physics\physics.c", "C", 31, 0, 0, 5, 36
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\physics\physics.h", "C", 36, 0, 0, 9, 45
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\ball.c", "C", 69, 0, 2, 17, 88
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\ball.h", "C++", 0, 7, 0, 1, 8
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\controller.c", "C", 26, 0, 0, 8, 34
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\controller.h", "C++", 0, 3, 0, 1, 4
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\flywheel.c", "C", 38, 0, 0, 12, 50
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\flywheel.h", "C", 7, 0, 0, 1, 8
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\simulation.c", "C", 46, 0, 0, 14, 60
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\telemetry.c", "C", 26, 0, 0, 8, 34
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\simulation\telemetry.h", "C++", 0, 2, 0, 1, 3
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\system\events.c", "C", 28, 0, 0, 5, 33
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\system\events.h", "C", 4, 0, 0, 1, 5
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\system\input.c", "C", 31, 0, 0, 9, 40
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\system\input.h", "C", 7, 0, 0, 2, 9
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\system\timer.c", "C", 24, 0, 0, 4, 28
"c:\Users\CamGH\OneDrive - Southern Alberta Institute of Technology\Physics Simulations\Flywheel Simulation\src\system\timer.h", "C", 4, 0, 0, 1, 5
"Total", "-", 563, 16, 2, 146, 727
